Position_X1,Position_Y1,Position_X2,Position_Y2,Position_X3,Position_Y3,Velocity_X1,Velocity_Y1,Velocity_X2,Velocity_Y2,Velocity_X3,Velocity_Y3,Momentum_X1,Momentum_Y1,Momentum_X2,Momentum_Y2,Momentum_X3,Momentum_Y3
99965165401.45413,4499547290.620821,-99999999894.5446,-4499999997.344689,2976612085.7147107,149964917910.47336,-497.4152127526068,29989.558359922135,0.0015057116662799362,-29999.999950325295,19669.340586932176,-495.99226956634095,-2.970563650558568e+27,1.79097642525455e+29,2.994860504230793e+27,-5.966999990119701e+34,1.4453031463277763e+27,-3.644551196773473e+25
99960191249.3266,4799442874.220042,-99999999879.48749,-4799999996.847942,3173305491.5840325,149959957987.7777,-530.5141205914504,29988.0687259107,0.001605880947507347,-29999.999944668612,19647.97391916209,-528.0424882100986,-3.1682303281721416e+27,1.790887464311387e+29,3.194097204592113e+27,-5.966999988994587e+34,1.4437331235800302e+27,-3.880056203367804e+25
99954886108.12068,5099323561.479149,-99999999863.42868,-5099999996.294628,3369785230.7756534,149954677562.8956,-563.6008480715265,29986.480340383496,0.0017060106501841556,-29999.999938719935,19626.688642717367,-559.9706207748472,-3.365824264683156e+27,1.7907926059277025e+29,3.3932551832162854e+27,-5.966999987811395e+34,1.4421690814668722e+27,-4.114664121453577e+25
99949250099.63997,5399188364.882984,-99999999846.36858,-5399999995.681828,3566052117.202827,149949077856.68784,-596.6746208547166,29984.793310682122,0.00180609846973584,-29999.999932479557,19605.48420576733,-591.7774950130564,-3.563340835744368e+27,1.7906918565139365e+29,3.5923298563045853e+27,-5.966999986570184e+34,1.4406109794397833e+27,-4.348381033355938e+25
99943283353.43143,5699036297.989805,-99999999828.30759,-5699999995.006623,3762106959.2605004,149943160081.7377,-629.7346660802357,29983.007750717952,0.001906142105825989,-29999.99992594779,19584.360061830117,-623.4639306540475,-3.7607754258311676e+27,1.7905852228728763e+29,3.791316648487892e+27,-5.9669999852710155e+34,1.439058777343277e+27,-4.581212962445941e+25
99936986006.77063,5998866375.4969845,-99999999809.24617,-5999999994.266101,3957950559.878802,149936925442.43115,-662.7802124514347,29981.123780950802,0.0020061392626194168,-29999.999919124966,19563.31566970536,-655.0307395049498,-3.958123428759969e+27,1.790472712198382e+29,3.99021099335002e+27,-5.966999983913956e+34,1.4375124354099497e+27,-4.813165873882371e+25
99930358204.64612,6298677613.306493,-99999999789.18478,-6299999993.457351,4153583716.5758553,149930375135.0361,-695.8104903221923,29979.141528366417,0.0021060876490440017,-29999.999912011437,19542.350493407932,-686.4787255500958,-4.155380248204133e+27,1.7903543320740424e+29,4.189008333948519e+27,-5.966999982499075e+34,1.4359719142556148e+27,-5.044245675342103e+25
99923400099.74289,6598469028.590157,-99999999768.1239,-6599999992.577465,4349007221.509934,149923510347.7806,-728.8247317828713,29977.061126452743,0.002205984979051183,-29999.99990460757,19521.4640021027,-717.8086850488858,-4.3525412982073074e+27,1.790230090471758e+29,4.387704123332802e+27,-5.966999981026446e+34,1.4344371748745065e+27,-5.274458217739212e+25
99916111852.42506,6898239639.854684,-99999999746.06406,-6899999991.623541,4544221861.530961,149916332260.9301,-761.8221707458196,29974.88271517503,0.0023058289718750507,-29999.999896913763,19500.65567004029,-749.021406632148,-4.549602003694035e+27,1.790099995750253e+29,4.5862938250594755e+27,-5.966999979496147e+34,1.4329081786345606e+27,-5.503809295933023e+25
99908493630.7176,7197988467.006434,-99999999723.00577,-7199999990.592678,4739228418.231364,149908842046.8638,-794.8020430303932,29972.606440949756,0.002405617352289967,-29999.999888930422,19479.924976493825,-780.1176713970227,-4.7465578009775083e+27,1.7899640566535196e+29,4.784772913704744e+27,-5.9669999779082605e+34,1.4313848872727662e+27,-5.732304649425323e+25
99900545610.28731,7497714531.415932,-99999999698.9496,-7499999989.481982,4934027667.996303,149901040870.14984,-827.7635864474795,29970.232456617374,0.002505347850866647,-29999.99988065798,19459.271405696643,-811.0982530003969,-4.943404138264348e+27,1.7898222823091897e+29,4.983136875373761e+27,-5.966999976262872e+34,1.4298672628905894e+27,-5.959949963046916e+25
99892267974.42284,7797416855.982105,-99999999673.89612,-7799999988.288562,5128620382.053269,149892929887.61984,-860.7060408834994,29967.76092141392,0.002605018204226645,-29999.999872096883,19438.694446780955,-841.9639177509152,-5.140136476156259e+27,1.7896746822268395e+29,5.181381208206797e+27,-5.9669999745600695e+34,1.4283552679494645e+27,-6.186750867633725e+25
99883660914.014,8097094465.196244,-99999999647.84593,-8099999987.009531,5323007326.521079,149884510248.44232,-893.6286483838683,29965.192000941464,0.0027046261552951772,-29999.999863247605,19418.193593717428,-872.7154246995942,-5.336750288148462e+27,1.7895212662962243e+29,5.379501422882107e+27,-5.9669999727999485e+34,1.4268488652663565e+27,-6.412712940692618e+25
99874724627.53017,8396746385.205659,-99999999620.79967,-8399999985.642007,5517189262.458253,149875783094.1953,-926.5306532358932,29962.52586713744,0.0028041694535522214,-29999.999854110632,19397.7683452557,-903.3535257290631,-5.533241061124754e+27,1.7893620447854478e+29,5.577493043115368e+27,-5.966999970982605e+34,1.4253480180093886e+27,-6.637841707057155e+25
99865459320.9978,8696371643.877033,-99999999592.75798,-8699999984.183113,5711166945.9108095,149866749558.93802,-959.411302051088,29959.762698242826,0.0029036458552818317,-29999.999844686474,19377.418204865786,-933.8789656414576,-5.729604295849098e+27,1.789197028339062e+29,5.775351606155563e+27,-5.96699996910814e+34,1.423852689693538e+27,-6.86214263953343e+25
99855865207.9773,8995969270.85946,-99999999563.72153,-8999999982.629978,5904941127.959467,149857410769.28162,-992.2698438468841,29956.902678769242,0.0030030531238196094,-29999.999834975653,19357.142680680357,-964.2924822449895,-5.925835507453593e+27,1.7890262279760993e+29,5.973072663277203e+27,-5.966999967176657e+34,1.4223628441763927e+27,-7.085621159536182e+25
99845942509.53883,9295538297.647154,-99999999533.691,-9299999980.979734,6098512554.766271,149847767844.45917,-1025.1055301277172,29953.945999464922,0.0031023890297982677,-29999.999824978717,19336.941285437904,-994.5948064392162,-6.121930225922727e+27,1.7888496550880452e+29,6.170651780268754e+27,-5.966999965188267e+34,1.420878445653977e+27,-7.30828263771536e+25
99835691454.23755,9595077757.641804,-99999999502.6671,-9599999979.22952,6291881967.620649,149837821896.39478,-1057.917614965472,29950.892857279614,0.0032016513513912354,-29999.99981469623,19316.813536426736,-1024.7866622990337,-6.317883996573799e+27,1.7886673214367386e+29,6.368084537917167e+27,-5.96699996314308e+34,1.4193994586566366e+27,-7.530132394573299e+25
99825112278.08789,9894586686.2146,-99999999470.65059,-9899999977.376484,6485050102.984917,149827574029.7718,-1090.705355079263,29947.743455328404,0.003300837874554238,-29999.99980412878,19296.758955429825,-1054.8687671574148,-6.513692380533359e+27,1.7884792391522124e+29,6.565366532488379e+27,-5.966999961041214e+34,1.4179258480449834e+27,-7.751175701072684e+25
